"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP6,JP5";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
2;"R19,R10,R21,R20,R22";"0603R";5;"10k";;;
3;"R2,R1,R5";"0603R";3;"1k";;;
4;"R3,R17,R4,R12";"0402R";4;"2k2";;;
5;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
6;"C26,C1,C24,C21,C25,C10,C22,C18,C23,C2,C19,C4,C11,C20";"0603C";14;"100n";;;
7;"U5";"SOT-363";1;"NMOS-DUAL";;;
8;"JP4";"SMD_JUMPER";1;"SMD_JUMPER";;;
9;"C5,C3,C7,C9,C8";"0603C";5;"2u2";;;
10;"D2,D6";"0402LED";2;"orange";;;
11;"JP2,JP3,JP1";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";3;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
12;"C14,C15,C12,C13";"1206C";4;"10u";;;
13;"H3,H4,H1,H2";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
14;"R7,R8";"0603R";2;"5k1";;;
15;"U2";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
16;"R18";"0603R";1;"100";;;
17;"D4";"WS2812B-2020";1;"WS2812B-2020";;;
18;"D3";"0402LED";1;"purple";;;
19;"U4";"TQFP-100";1;"ATMEGA2560-16AU";;;
20;"U1";"SOP-16";1;"CH340C";;;
21;"K1";"easyC-connector";1;"easyC-SMD";;;
22;"K8";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
23;"D1";"0402LED";1;"blue";;;
24;"R16,R14,R15,R13,R9";"0603R";5;"100k";;;
25;"Q1,Q2";"SOT-23-3";2;"PMOS";;;
26;"C16,C17";"0603C";2;"22p";;;
27;"U6";"TXB0104QPWRQ1";1;"TXB0104QPWRQ1";;;
28;"D5";"0402LED";1;"red";;;
29;"SW1,SW2";"YTSA007A0151803B";2;"YTSA007A0151803B";;;
30;"C6";"0603C";1;"270p";;;
31;"K3";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
32;"TP2,TP1";"Test_Point_SMD_0.8mm";2;"Test_Point_SMD_0.8mm";;;
33;"U3";"TP4056M-MSOP8";1;"TP4056M";;;
34;"R11";"0603R";1;"3k";;;
35;"R6";"0402R";1;"330";;;
36;"D7";"SOD-323";1;"BAT20J";;;
37;"X1";"CRYSTAL_3225__4_PAD";1;"16MHz";;;
38;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
39;"K6";"HEADER_MALE_20x1";1;"HEADER_MALE_20X1";;;
40;"K4,K5";"HEADER_MALE_40X1";2;"HEADER_MALE_40X1";;;
